"X0","AirProving","","Fan must be running before heaters can be turned on."
"X1","DoorSwitch","","The door must be closed before heaters can be turned on."
"X2","StartCycle","","Start the heating cycle"
"Y0","FanControl","","Start/Stop Fan."
"Y1","HeatingCoil","","Heating elements relay coil."
"Y2","EndOfCycle","","End"
"Y5","FanSlowSpeedCoil","",""
"WX0","InsideTemp","","Temperature input 1."
"WX1","HIghLimit","","High limit must be under set temperature."
"WX4","CurrentSensor1","40.95 = 1",""
"WX6","CurrentSensor2","40.95 = 1",""
"WY0","AnalogOutput1","","Analog 4-20ma output 1."
"WY1","AnalogOutput2","",""
"C0","OnOff_Switch","","On/Off button on C- More Panel."
"C1","Enable_Heating","","Enable heating elements."
"C2","Start_Bake_Cycle","","Start the bake cycle."
"V0","ST_Profile1_1","","Soak time for profile 1 step 1."
"V2","ST_Profile1_2","","Soak time for profile 1 step 2."
"D0","HighLimit_SP","","High limit set point."
"D1","SP_Profile_1_1","","Set point value step 1 for profile 1."
"D2","SP_Profile_1_2","","Set point value step 1 for profile 2."
"D3","AmpsCS1","",""
"D4","AmpsCS2","",""
"RS_Profile1.Done","CycleDone","","The bake cycle is complete."
